author	wdid	name	gender	birth	death
Haller, Albrecht von	Q123225	Albrecht von Haller	male	1708-10-16	1777-12-12
Wieland, Christoph Martin	Q154010	Christoph Martin Wieland	male	1733-09-05	1813-01-20
Unger, Friederike Helene	Q1457049	Friederike Helene Unger	female	1741-01-01	1813-09-21
Goethe, Johann Wolfgang von	Q5879	Johann Wolfgang von Goethe	male	1749-08-28	1832-03-22
Moritz, Karl Philipp	Q215781	Karl Philipp Moritz	male	1756-09-15	1793-06-26
Schiller, Friedrich	Q22670	Friedrich Schiller	male	1759-11-10	1805-05-09
Jean Paul	Q77079	Jean Paul	male	1763-03-21	1825-11-14
Schlegel, Dorothea	Q77271	Dorothea Schlegel	female	1764-10-24	1839-08-03
Liebeskind, Margareta Sophia	Q1416394	Meta Forkel-Liebeskind	female	1765-02-22	1853-01-01
Hölderlin, Friedrich	Q75889	Friedrich Hölderlin	male	1770-03-20	1843-06-07
Mereau, Sophie	Q66313	Sophie Mereau	female	1770-03-27	1806-10-31
Schlegel, Friedrich	Q157271	Friedrich Schlegel	male	1772-03-10	1829-01-12
Novalis	Q60684	Novalis	male	1772-05-02	1801-03-25
Tieck, Ludwig	Q57239	Ludwig Tieck	male	1773-05-31	1853-04-28
Bernhardi, Sophie	Q98808	Sophie Tieck	female	1775-02-28	1833-10-01
Hoffmann, E. T. A.	Q150471	E. T. A. Hoffmann	male	1776-01-24	1822-06-25
Fouqué, Friedrich de la Motte	Q77371	Friedrich de la Motte Fouqué	male	1777-02-12	1843-01-23
Klingemann, August	Q68143	Ernst August Friedrich Klingemann	male	1777-08-31	1831-01-25
Kleist, Heinrich von	Q28494	Heinrich von Kleist	male	1777-10-18	1811-11-21
Brentano, Clemens	Q57235	Clemens Brentano	male	1778-09-08	1842-07-28
Günderode, Karoline von	Q62053	Karoline von Günderrode	female	1780-02-11	1806-07-26
Arnim, Ludwig Achim von	Q70988	Achim von Arnim	male	1781-01-26	1831-01-21
Chamisso, Adelbert	Q154782	Adelbert von Chamisso	male	1781-01-30	1838-08-21
Arnim, Bettina von	Q57236	Bettina von Arnim	female	1785-04-04	1859-01-20
Kerner, Justinus	Q77280	Justinus Kerner	male	1786-09-18	1862-02-21
Eichendorff, Joseph von	Q77204	Joseph von Eichendorff	male	1788-03-10	1857-11-26
Droste-Hülshoff, Annette von	Q57307	Annette von Droste-Hülshoff	female	1797-01-10	1848-05-24
Hauff, Wilhelm	Q57966	Wilhelm Hauff	male	1802-11-29	1827-11-18
Stifter, Adalbert	Q168542	Adalbert Stifter	male	1805-10-23	1868-01-28
Mundt, Theodor	Q74688	Theodor Mundt	male	1808-09-19	1861-11-30
Ludwig, Otto	Q77321	Otto Ludwig	male	1813-02-11	1865-02-25
Freytag, Gustav	Q58811	Gustav Freytag	male	1816-07-13	1895-04-30
Storm, Theodor	Q26993	Theodor Storm	male	1817-09-14	1888-07-04
Keller, Gottfried	Q122370	Gottfried Keller	male	1819-07-19	1890-07-15
Fontane, Theodor	Q76632	Theodor Fontane	male	1819-12-30	1898-09-20
Meyer, Conrad Ferdinand	Q123261	Conrad Ferdinand Meyer	male	1825-10-11	1898-11-28
Spielhagen, Friedrich	Q106603	Friedrich Spielhagen	male	1829-02-24	1911-02-25
Heyse, Paul	Q76487	Paul Heyse	male	1830-03-15	1914-04-02
Ebner-Eschenbach, Marie von	Q93525	Marie von Ebner-Eschenbach	female	1830-09-13	1916-03-12
Raabe, Wilhelm	Q60647	Wilhelm Raabe	male	1831-09-08	1910-11-15
Saar, Ferdinand von	Q78977	Ferdinand von Saar	male	1833-09-30	1906-07-24
Jensen, Wilhelm	Q77444	Wilhelm Jensen	male	1837-02-15	1911-11-24
Franzos, Karl Emil	Q78846	Karl Emil Franzos	male	1848-10-25	1904-01-28
